PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2022,40,X,3.04534,X,X,X,X,X,X,1436,105,47154
States,Alaska,2022,40,X,1.35203,X,X,X,X,X,X,54,12,3994
States,Arizona,2022,40,X,1.33466,X,X,X,X,X,X,268,42,20080
States,Arkansas,2022,40,X,1.88728,X,X,X,X,X,X,291,49,15419
States,California,2022,40,X,2.44759,X,X,X,X,X,X,7136,225,291552
States,Colorado,2022,40,X,2.00319,X,X,X,X,X,X,665,64,33197
States,Connecticut,2022,40,X,2.05072,X,X,X,X,X,X,925,70,45106
States,Delaware,2022,40,X,0.926989,X,X,X,X,X,X,105,23,11327
States,District of Columbia,2022,40,X,6.69573,X,X,X,X,X,X,430,4,6422
States,Florida,2022,40,X,2.92512,X,X,X,X,X,X,6946,362,237460
States,Georgia,2022,40,X,5.43332,X,X,X,X,X,X,4571,102,84129
States,Hawaii,2022,40,X,3.8067,X,X,X,X,X,X,1206,42,31681
States,Idaho,2022,40,X,0.789973,X,X,X,X,X,X,75,31,9494
States,Illinois,2022,40,X,2.54323,X,X,X,X,X,X,1759,180,69164
States,Indiana,2022,40,X,2.2808,X,X,X,X,X,X,1323,107,58006
States,Iowa,2022,40,X,1.07447,X,X,X,X,X,X,58,15,5398
States,Kansas,2022,40,X,1.87352,X,X,X,X,X,X,237,25,12650
States,Kentucky,2022,40,X,1.96683,X,X,X,X,X,X,587,75,29845
States,Louisiana,2022,40,X,2.84618,X,X,X,X,X,X,1261,87,44305
States,Maine,2022,40,X,1.19048,X,X,X,X,X,X,181,53,15204
States,Maryland,2022,40,X,2.48042,X,X,X,X,X,X,1102,62,44428
States,Massachusetts,2022,40,X,1.5803,X,X,X,X,X,X,1269,92,80301
States,Michigan,2022,40,X,1.2357,X,X,X,X,X,X,929,151,75180
States,Minnesota,2022,40,X,1.63924,X,X,X,X,X,X,525,69,32027
States,Mississippi,2022,40,X,3.44256,X,X,X,X,X,X,457,31,13275
States,Missouri,2022,40,X,1.61376,X,X,X,X,X,X,458,41,28381
States,Montana,2022,40,X,0.702798,X,X,X,X,X,X,52,28,7399
States,Nebraska,2022,40,X,3.3393,X,X,X,X,X,X,448,85,13416
States,Nevada,2022,40,X,0.853112,X,X,X,X,X,X,156,31,18286
States,New Hampshire,2022,40,X,0.488998,X,X,X,X,X,X,6,9,1227
States,New Jersey,2022,40,X,3.48983,X,X,X,X,X,X,1005,31,28798
States,New Mexico,2022,40,X,2.73993,X,X,X,X,X,X,557,35,20329
States,New York,2022,40,X,2.35321,X,X,X,X,X,X,933,122,39648
States,North Carolina,2022,40,X,2.02801,X,X,X,X,X,X,1904,142,93885
States,North Dakota,2022,40,X,3.54532,X,X,X,X,X,X,97,13,2736
States,Ohio,2022,40,X,2.72393,X,X,X,X,X,X,1179,83,43283
States,Oklahoma,2022,40,X,1.63209,X,X,X,X,X,X,284,32,17401
States,Oregon,2022,40,X,1.04486,X,X,X,X,X,X,426,89,40771
States,Pennsylvania,2022,40,X,1.42289,X,X,X,X,X,X,962,106,67609
States,Rhode Island,2022,40,X,1.05615,X,X,X,X,X,X,142,24,13445
States,South Carolina,2022,40,X,3.45717,X,X,X,X,X,X,1220,38,35289
States,South Dakota,2022,40,X,0.514697,X,X,X,X,X,X,45,31,8743
States,Tennessee,2022,40,X,4.19784,X,X,X,X,X,X,1358,99,32350
States,Texas,2022,40,X,4.69311,X,X,X,X,X,X,2654,60,56551
States,Utah,2022,40,X,1.82399,X,X,X,X,X,X,348,48,19079
States,Vermont,2022,40,X,0.876897,X,X,X,X,X,X,52,14,5930
States,Virginia,2022,40,X,3.17328,X,X,X,X,X,X,3457,168,108941
States,Washington,2022,40,X,1.05319,X,X,X,X,X,X,356,71,33802
States,West Virginia,2022,40,X,1.87922,X,X,X,X,X,X,220,37,11707
States,Wisconsin,2022,40,X,1.10064,X,X,X,X,X,X,236,34,21442
States,Wyoming,2022,40,X,2.39401,X,X,X,X,X,X,48,12,2005
States,Commonwealth of the Northern Mariana Islands,2022,40,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,40,X,3.29777,X,X,X,X,X,X,68,8,2062
States,Virgin Islands,2022,40,X,0.972222,X,X,X,X,X,X,14,4,1440
States,New York City,2022,40,X,4.11591,X,X,X,X,X,X,4751,105,115430
States,Alabama,2022,41,X,4.09508,X,X,X,X,X,X,2324,108,56751
States,Alaska,2022,41,X,2.50137,X,X,X,X,X,X,91,12,3638
States,Arizona,2022,41,X,1.28969,X,X,X,X,X,X,264,44,20470
States,Arkansas,2022,41,X,2.50679,X,X,X,X,X,X,406,49,16196
States,California,2022,41,X,2.69767,X,X,X,X,X,X,7892,226,292549
States,Colorado,2022,41,X,2.33604,X,X,X,X,X,X,675,64,28895
States,Connecticut,2022,41,X,2.25469,X,X,X,X,X,X,1040,70,46126
States,Delaware,2022,41,X,1.14068,X,X,X,X,X,X,165,29,14465
States,District of Columbia,2022,41,X,6.49409,X,X,X,X,X,X,434,4,6683
States,Florida,2022,41,X,2.98013,X,X,X,X,X,X,7097,361,238144
States,Georgia,2022,41,X,5.89703,X,X,X,X,X,X,4940,103,83771
States,Hawaii,2022,41,X,3.33333,X,X,X,X,X,X,1114,42,33420
States,Idaho,2022,41,X,0.971968,X,X,X,X,X,X,69,31,7099
States,Illinois,2022,41,X,2.70207,X,X,X,X,X,X,2090,178,77348
States,Indiana,2022,41,X,2.41338,X,X,X,X,X,X,1384,107,57347
States,Iowa,2022,41,X,0.988554,X,X,X,X,X,X,57,14,5766
States,Kansas,2022,41,X,2.37128,X,X,X,X,X,X,286,24,12061
States,Kentucky,2022,41,X,2.32027,X,X,X,X,X,X,538,78,23187
States,Louisiana,2022,41,X,3.41962,X,X,X,X,X,X,1543,87,45122
States,Maine,2022,41,X,1.33211,X,X,X,X,X,X,203,53,15239
States,Maryland,2022,41,X,3.05863,X,X,X,X,X,X,913,65,29850
States,Massachusetts,2022,41,X,1.72671,X,X,X,X,X,X,1412,94,81774
States,Michigan,2022,41,X,1.48991,X,X,X,X,X,X,1353,154,90811
States,Minnesota,2022,41,X,1.78213,X,X,X,X,X,X,612,70,34341
States,Mississippi,2022,41,X,4.56517,X,X,X,X,X,X,621,30,13603
States,Missouri,2022,41,X,1.58655,X,X,X,X,X,X,467,41,29435
States,Montana,2022,41,X,0.905105,X,X,X,X,X,X,64,28,7071
States,Nebraska,2022,41,X,3.62194,X,X,X,X,X,X,484,84,13363
States,Nevada,2022,41,X,0.89557,X,X,X,X,X,X,168,31,18759
States,New Hampshire,2022,41,X,0.398936,X,X,X,X,X,X,6,10,1504
States,New Jersey,2022,41,X,3.93441,X,X,X,X,X,X,1147,31,29153
States,New Mexico,2022,41,X,2.98535,X,X,X,X,X,X,644,38,21572
States,New York,2022,41,X,4.36652,X,X,X,X,X,X,518,121,11863
States,North Carolina,2022,41,X,2.62851,X,X,X,X,X,X,2527,143,96138
States,North Dakota,2022,41,X,2.33997,X,X,X,X,X,X,87,14,3718
States,Ohio,2022,41,X,3.00604,X,X,X,X,X,X,1389,83,46207
States,Oklahoma,2022,41,X,1.64811,X,X,X,X,X,X,299,34,18142
States,Oregon,2022,41,X,0.954993,X,X,X,X,X,X,390,88,40838
States,Pennsylvania,2022,41,X,1.6952,X,X,X,X,X,X,1203,107,70965
States,Rhode Island,2022,41,X,0.798493,X,X,X,X,X,X,106,22,13275
States,South Carolina,2022,41,X,4.32219,X,X,X,X,X,X,1466,38,33918
States,South Dakota,2022,41,X,0.762076,X,X,X,X,X,X,68,31,8923
States,Tennessee,2022,41,X,4.70229,X,X,X,X,X,X,1709,98,36344
States,Texas,2022,41,X,5.40857,X,X,X,X,X,X,3328,62,61532
States,Utah,2022,41,X,1.87207,X,X,X,X,X,X,348,48,18589
States,Vermont,2022,41,X,0.52279,X,X,X,X,X,X,32,13,6121
States,Virginia,2022,41,X,3.58966,X,X,X,X,X,X,4044,168,112657
States,Washington,2022,41,X,1.17641,X,X,X,X,X,X,495,72,42077
States,West Virginia,2022,41,X,1.48254,X,X,X,X,X,X,208,45,14030
States,Wisconsin,2022,41,X,1.23614,X,X,X,X,X,X,262,34,21195
States,Wyoming,2022,41,X,1.50875,X,X,X,X,X,X,50,16,3314
States,Commonwealth of the Northern Mariana Islands,2022,41,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,41,X,3.24096,X,X,X,X,X,X,69,8,2129
States,Virgin Islands,2022,41,X,0.724638,X,X,X,X,X,X,11,4,1518
States,New York City,2022,41,X,4.09348,X,X,X,X,X,X,4204,105,102700
States,Alabama,2022,42,X,5.4292,X,X,X,X,X,X,2831,105,52144
States,Alaska,2022,42,X,2.00538,X,X,X,X,X,X,82,12,4089
States,Arizona,2022,42,X,1.35059,X,X,X,X,X,X,286,44,21176
States,Arkansas,2022,42,X,2.59954,X,X,X,X,X,X,410,52,15772
States,California,2022,42,X,3.02693,X,X,X,X,X,X,8955,223,295844
States,Colorado,2022,42,X,3.00054,X,X,X,X,X,X,1512,98,50391
States,Connecticut,2022,42,X,2.54442,X,X,X,X,X,X,1190,70,46769
States,Delaware,2022,42,X,1.24413,X,X,X,X,X,X,188,30,15111
States,District of Columbia,2022,42,X,7.60053,X,X,X,X,X,X,516,4,6789
States,Florida,2022,42,X,3.64088,X,X,X,X,X,X,8762,361,240656
States,Georgia,2022,42,X,5.93913,X,X,X,X,X,X,4953,105,83396
States,Hawaii,2022,42,X,3.32601,X,X,X,X,X,X,1135,41,34125
States,Idaho,2022,42,X,0.984144,X,X,X,X,X,X,90,31,9145
States,Illinois,2022,42,X,3.03269,X,X,X,X,X,X,2422,180,79863
States,Indiana,2022,42,X,2.27216,X,X,X,X,X,X,1279,106,56290
States,Iowa,2022,42,X,0.949033,X,X,X,X,X,X,54,14,5690
States,Kansas,2022,42,X,1.81881,X,X,X,X,X,X,369,37,20288
States,Kentucky,2022,42,X,2.43322,X,X,X,X,X,X,839,76,34481
States,Louisiana,2022,42,X,3.87714,X,X,X,X,X,X,1747,87,45059
States,Maine,2022,42,X,1.51275,X,X,X,X,X,X,239,54,15799
States,Maryland,2022,42,X,4.11509,X,X,X,X,X,X,1928,64,46852
